date,quote,image_url
2026-04-26,如果有什麼值得做的事，就全心全意去做。,https://dls06783.github.io/upshan-posters/001_B1_east_career_terracotta.png
2026-04-27,三樣東西不能隱藏太久：太陽、月亮和真相。,https://dls06783.github.io/upshan-posters/002_C4_dhyana_hand_gold.png
2026-04-28,凡事自己解決，不要依賴別人。,https://dls06783.github.io/upshan-posters/003_E1_monument_below_crimson.png
2026-04-29,你自己，就像整個宇宙中任何一人一樣，值得被愛。,https://dls06783.github.io/upshan-posters/004_C3_lotus_hand_blush.png
2026-04-30,有意見的人，只會四處煩擾彼此。,https://dls06783.github.io/upshan-posters/005_C3_lotus_hand_moss.png
2026-05-01,苦的根源是執著。,https://dls06783.github.io/upshan-posters/006_A6_white_jade_teal.png
2026-05-02,除了你自己，不要在任何人身上尋求皈依。,https://dls06783.github.io/upshan-posters/007_D1_erawan_night_navy.png
2026-05-03,若懂施予之力，一頓飯也不忍獨享。,https://dls06783.github.io/upshan-posters/008_D3_garland_offering_violet.png
2026-05-04,沒有什麼比你自己的心念失守更能傷害你了。,https://dls06783.github.io/upshan-posters/009_C4_dhyana_hand_sienna.png
2026-05-05,當過純粹無私的生活：縱在富足之中，亦無一物視作自己的。,https://dls06783.github.io/upshan-posters/010_A5_bronze_patina_jade.png
2026-05-06,如果你在修行路上無人同行，那就一個人走吧。,https://dls06783.github.io/upshan-posters/011_B1_east_career_gold.png
2026-05-07,願一切眾生，心得安樂。,https://dls06783.github.io/upshan-posters/012_C3_lotus_hand_crimson.png
2026-05-08,我們的一切，皆是所思所想之所成。,https://dls06783.github.io/upshan-posters/013_A1_frontal_blush.png
2026-05-09,野心就像愛情，不耐拖延，不容對手。,https://dls06783.github.io/upshan-posters/014_A6_white_jade_moss.png
2026-05-10,你的自我，應如寬衣般披著——隨時可脫。,https://dls06783.github.io/upshan-posters/015_E1_monument_below_teal.png
2026-05-11,一滴一滴，也能注滿一個罐子。,https://dls06783.github.io/upshan-posters/016_E2_wall_grid_navy.png
2026-05-12,每個人的健康或疾病，都是他自己所書。,https://dls06783.github.io/upshan-posters/017_B4_north_health_violet.png
2026-05-13,給，哪怕只有一點點。,https://dls06783.github.io/upshan-posters/018_A5_bronze_patina_sienna.png
2026-05-14,享於冥想和獨處；安住下來，快樂起來。你是一個求道者。,https://dls06783.github.io/upshan-posters/019_A3_arms_detail_jade.png
2026-05-15,耐力是最難的功課之一，但最終的勝利屬於堅持下來的人。,https://dls06783.github.io/upshan-posters/020_E1_monument_below_terracotta.png
2026-05-16,你現在的樣子，就是你曾經所思；你將成為的樣子，就是你今日所為。,https://dls06783.github.io/upshan-posters/021_E1_monument_below_crimson.png
2026-05-17,一瞬間改變一天，一天改變一生，一世改變世界。,https://dls06783.github.io/upshan-posters/022_E2_wall_grid_blush.png
2026-05-18,真愛源於理解。,https://dls06783.github.io/upshan-posters/023_D3_garland_offering_moss.png
2026-05-19,今日之身，昨日所思；今日所思，明日所成。,https://dls06783.github.io/upshan-posters/024_D4_lotus_pond_teal.png
2026-05-20,沒有慾望的人沒有恐懼。,https://dls06783.github.io/upshan-posters/025_A1_frontal_navy.png
2026-05-21,一根蠟燭可以點燃千根蠟燭，燭光不減；幸福也不會因分享而減少。,https://dls06783.github.io/upshan-posters/026_A5_bronze_patina_violet.png
2026-05-22,活得明白的人，連死亡也不畏懼。,https://dls06783.github.io/upshan-posters/027_D1_erawan_night_sienna.png
2026-05-23,除了我們自己，沒有人能拯救我們。這條路，終須自己走。,https://dls06783.github.io/upshan-posters/028_A3_arms_detail_jade.png
2026-05-24,蠟燭無火不能燃燒，人也不能沒有精神生活。,https://dls06783.github.io/upshan-posters/029_A5_bronze_patina_terracotta.png
2026-05-25,執著於己見的人，走到哪裡都與人為敵。,https://dls06783.github.io/upshan-posters/030_E1_monument_below_gold.png
2026-05-26,智者之所以為智者，不在多言；而在心安、有愛、無懼。,https://dls06783.github.io/upshan-posters/031_D3_garland_offering_blush.png
2026-05-27,不要沉溺於過去，不要夢想未來，專注於當下。,https://dls06783.github.io/upshan-posters/032_A1_frontal_moss.png
2026-05-28,對眾生無慈悲，便是自絕於人間。,https://dls06783.github.io/upshan-posters/033_B2_south_love_teal.png
2026-05-29,愛，是以靈魂深處相贈，讓彼此都得以完整。,https://dls06783.github.io/upshan-posters/034_A6_white_jade_navy.png
2026-05-30,大海只有一味，鹹味；法與律也只有一味，解脫的味道。,https://dls06783.github.io/upshan-posters/035_A3_arms_detail_violet.png
2026-05-31,在這個世界上，仇恨無法止息仇恨，唯有慈悲才能。這是永恆的法則。,https://dls06783.github.io/upshan-posters/036_C3_lotus_hand_sienna.png
2026-06-01,我們即是我們所想。一切由思想生，世界由思想造。,https://dls06783.github.io/upshan-posters/037_A1_frontal_jade.png
2026-06-02,別人有難時我們不伸手，他日我們有難，又有誰伸手？,https://dls06783.github.io/upshan-posters/038_A6_white_jade_terracotta.png
2026-06-03,如荷葉上的水珠，如蓮花上的露滴——聖者於所見、所聞、所感，皆不執著。,https://dls06783.github.io/upshan-posters/039_A3_arms_detail_gold.png
2026-06-04,今天該做的事，就盡心去做。誰知道呢，明天死亡便來。,https://dls06783.github.io/upshan-posters/040_B1_east_career_crimson.png
2026-06-05,善言的根本，在於理解。,https://dls06783.github.io/upshan-posters/041_A5_bronze_patina_moss.png
2026-06-06,依真理而行的人，今世、來世都是幸福的。,https://dls06783.github.io/upshan-posters/042_C4_dhyana_hand_teal.png
2026-06-07,堅如磐石，不為風雨搖動，智者亦不為褒貶所動。,https://dls06783.github.io/upshan-posters/043_A1_frontal_navy.png
2026-06-08,思想塑造生活，我們會成為自己所想的樣子。心念純淨，快樂便如影隨形。,https://dls06783.github.io/upshan-posters/044_A2_threequarter_violet.png
2026-06-09,一切和合之物皆無常，當勤精進。,https://dls06783.github.io/upshan-posters/045_E1_monument_below_sienna.png
